filename,duration,mean_volume,tempo
speaker3_input100.wav,6.78,0.055686977,107
speaker3_input234.wav,6.12,0.051039517,112
speaker3_input2.wav,9.18,0.05162801,117
speaker3_input92.wav,6.66,0.051290326,107
speaker3_input72.wav,5.46,0.049762994,83
speaker3_input224.wav,6.84,0.059652735,112
speaker3_input251.wav,0.6,0.0474005,161
speaker3_input110.wav,5.22,0.058240213,107
speaker3_input103.wav,8.4,0.050972015,75
speaker3_input210.wav,8.82,0.044031456,151
speaker3_input118.wav,5.1,0.067209266,117
speaker3_input39.wav,8.82,0.053216066,172
speaker3_input44.wav,5.76,0.04573763,198
speaker3_input55.wav,7.14,0.047032382,107
speaker3_input216.wav,7.2,0.061642073,92
speaker3_input149.wav,7.92,0.044403773,75
speaker3_input218.wav,6.66,0.045439657,107
speaker3_input112.wav,5.46,0.088463634,172
speaker3_input63.wav,5.94,0.05021645,92
speaker3_input237.wav,6.3,0.046879157,151
speaker3_input40.wav,6.96,0.048743904,198
speaker3_input195.wav,9.48,0.053683255,135
speaker3_input238.wav,7.44,0.05330743,107
speaker3_input120.wav,7.68,0.05988199,135
speaker3_input45.wav,6.3,0.048738245,129
speaker3_input98.wav,9.78,0.06253052,112
speaker3_input215.wav,7.56,0.055749543,103
speaker3_input147.wav,7.5,0.047028534,135
speaker3_input9.wav,8.34,0.04307172,135
speaker3_input175.wav,5.28,0.05393228,71
speaker3_input81.wav,5.34,0.061355807,172
speaker3_input61.wav,5.58,0.04153642,78
speaker3_input163.wav,9.9,0.052933775,99
speaker3_input14.wav,5.4,0.04279913,92
speaker3_input171.wav,8.34,0.05432887,80
speaker3_input162.wav,6.78,0.04637052,66
speaker3_input38.wav,7.44,0.049530227,151
speaker3_input231.wav,6.96,0.04588808,75
speaker3_input208.wav,6.72,0.05232579,143
speaker3_input71.wav,8.22,0.052341804,83
speaker3_input97.wav,9.66,0.05056013,86
speaker3_input242.wav,8.58,0.058615714,95
speaker3_input188.wav,6.9,0.048798118,92
speaker3_input34.wav,8.7,0.056392264,89
speaker3_input212.wav,7.38,0.055817764,95
speaker3_input25.wav,8.34,0.051416148,67
speaker3_input184.wav,7.8,0.056565337,99
speaker3_input64.wav,8.16,0.049728557,103
speaker3_input68.wav,5.1,0.05112412,73
speaker3_input90.wav,5.04,0.05274609,71
speaker3_input27.wav,9.54,0.042715598,135
speaker3_input239.wav,6.42,0.05929688,67
speaker3_input192.wav,6.24,0.05761116,95
speaker3_input181.wav,9.54,0.058974367,83
